"SNUM","DOMSOI","ID","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Long","Lat","GroupCat","species","TEST_LOCALE"
5051,"Xk",162,188,167,48,6173,350,8,342,249,122,262,105,339,84,4,100,226,19,199,23,-105.167,27.882916,"mapimienss","collis",NA
3511,"I",163,181,153,49,5727,331,20,311,237,154,249,102,321,69,5,85,191,21,165,31,-103.95556,27.7864923,"mapimienss","collis",NA
3511,"I",164,181,154,49,5740,332,18,314,237,153,249,102,324,70,5,84,194,21,168,31,-103.975,27.768,"mapimienss","collis",NA
5051,"Xk",165,186,168,49,6075,347,6,341,245,155,259,104,352,81,4,97,229,18,202,25,-105.0851912,27.7160429,"mapimienss","collis",NA
3511,"I",166,173,150,49,5478,319,17,302,227,148,238,98,344,72,6,84,203,23,175,33,-103.8973541,27.684632,"mapimienss","collis",NA
5044,"Xh",167,181,167,51,5559,337,10,327,234,153,247,107,365,85,4,104,251,15,208,24,-105.4,27.45694,"mapimienss","collis",NA
5079,"Yk",168,194,144,50,5396,328,40,288,248,137,256,119,301,57,5,64,144,24,124,31,-102.4117715,27.3429929,"mapimienss","collis",NA
5079,"Yk",169,195,144,49,5368,330,40,290,248,138,257,120,292,55,5,64,139,23,120,30,-102.395569,27.291635,"mapimienss","collis",NA
5079,"Yk",170,195,144,49,5368,330,40,290,248,138,257,120,292,55,5,64,139,23,120,30,-102.405374,27.291634,"mapimienss","collis",NA
5079,"Yk",171,195,144,49,5368,330,40,290,248,138,257,120,292,55,5,64,139,23,120,30,-102.405374,27.291634,"mapimienss","collis",NA
5079,"Yk",172,190,143,50,5287,324,38,286,243,134,251,117,301,57,5,65,147,24,126,31,-102.436426,27.291624,"mapimienss","collis",NA
5079,"Yk",173,190,143,50,5287,324,38,286,243,134,251,117,301,57,5,65,147,24,126,31,-102.442963,27.291622,"mapimienss","collis",NA
